# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 11.0 Build 208 07/03/2011 Service Pack 1 SJ Full Version
# File: E:/Project/AX301/verilog/sdram_ov5640_rgb_lcd_800480/sdram_ov5640_lcd.csv
# Generated on: Tue May 05 17:58:38 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
S_A[12],Output,PIN_T15,4,B4_N0,3.3-V LVTTL,,,,
S_A[11],Output,PIN_R16,5,B5_N0,3.3-V LVTTL,,,,
S_A[10],Output,PIN_R8,3,B3_N0,3.3-V LVTTL,,,,
S_A[9],Output,PIN_P15,5,B5_N0,3.3-V LVTTL,,,,
S_A[8],Output,PIN_P16,5,B5_N0,3.3-V LVTTL,,,,
S_A[7],Output,PIN_N15,5,B5_N0,3.3-V LVTTL,,,,
S_A[6],Output,PIN_N16,5,B5_N0,3.3-V LVTTL,,,,
S_A[5],Output,PIN_L15,5,B5_N0,3.3-V LVTTL,,,,
S_A[4],Output,PIN_L16,5,B5_N0,3.3-V LVTTL,,,,
S_A[3],Output,PIN_R9,4,B4_N0,3.3-V LVTTL,,,,
S_A[2],Output,PIN_T9,4,B4_N0,3.3-V LVTTL,,,,
S_A[1],Output,PIN_P9,4,B4_N0,3.3-V LVTTL,,,,
S_A[0],Output,PIN_T8,3,B3_N0,3.3-V LVTTL,,,,
S_BA[1],Output,PIN_T7,3,B3_N0,3.3-V LVTTL,,,,
S_BA[0],Output,PIN_R7,3,B3_N0,3.3-V LVTTL,,,,
S_CKE,Output,PIN_R14,4,B4_N0,3.3-V LVTTL,,,,
S_CLK,Output,PIN_R4,3,B3_N0,3.3-V LVTTL,,,,
S_DB[15],Bidir,PIN_R11,4,B4_N0,3.3-V LVTTL,,,,
S_DB[14],Bidir,PIN_T11,4,B4_N0,3.3-V LVTTL,,,,
S_DB[13],Bidir,PIN_R10,4,B4_N0,3.3-V LVTTL,,,,
S_DB[12],Bidir,PIN_T10,4,B4_N0,3.3-V LVTTL,,,,
S_DB[11],Bidir,PIN_T12,4,B4_N0,3.3-V LVTTL,,,,
S_DB[10],Bidir,PIN_R12,4,B4_N0,3.3-V LVTTL,,,,
S_DB[9],Bidir,PIN_T13,4,B4_N0,3.3-V LVTTL,,,,
S_DB[8],Bidir,PIN_R13,4,B4_N0,3.3-V LVTTL,,,,
S_DB[7],Bidir,PIN_P1,2,B2_N0,3.3-V LVTTL,,,,
S_DB[6],Bidir,PIN_P2,2,B2_N0,3.3-V LVTTL,,,,
S_DB[5],Bidir,PIN_R1,2,B2_N0,3.3-V LVTTL,,,,
S_DB[4],Bidir,PIN_T2,3,B3_N0,3.3-V LVTTL,,,,
S_DB[3],Bidir,PIN_R3,3,B3_N0,3.3-V LVTTL,,,,
S_DB[2],Bidir,PIN_T3,3,B3_N0,3.3-V LVTTL,,,,
S_DB[1],Bidir,PIN_T4,3,B3_N0,3.3-V LVTTL,,,,
S_DB[0],Bidir,PIN_R5,3,B3_N0,3.3-V LVTTL,,,,
S_DQM[1],Output,PIN_T14,4,B4_N0,3.3-V LVTTL,,,,
S_DQM[0],Output,PIN_N2,2,B2_N0,3.3-V LVTTL,,,,
S_NCAS,Output,PIN_T5,3,B3_N0,3.3-V LVTTL,,,,
S_NCS,Output,PIN_T6,3,B3_N0,3.3-V LVTTL,,,,
S_NRAS,Output,PIN_R6,3,B3_N0,3.3-V LVTTL,,,,
S_NWE,Output,PIN_N1,2,B2_N0,3.3-V LVTTL,,,,
cmos_pwdn,Output,,,,3.3-V LVTTL,,,,
cmos_rst_n,Output,,,,3.3-V LVTTL,,,,
lcd_lr,Output,PIN_L3,2,B2_N0,3.3-V LVTTL,,,,
lcd_mode,Output,PIN_N13,5,B5_N0,3.3-V LVTTL,,,,
lcd_out_clk,Output,PIN_L4,2,B2_N0,3.3-V LVTTL,,,,
lcd_out_de,Output,PIN_N12,4,B4_N0,3.3-V LVTTL,,,,
lcd_out_hs,Output,PIN_P11,4,B4_N0,3.3-V LVTTL,,,,
lcd_out_rgb_b[5],Output,PIN_M10,4,B4_N0,3.3-V LVTTL,,,,
lcd_out_rgb_b[4],Output,PIN_M9,4,B4_N0,3.3-V LVTTL,,,,
lcd_out_rgb_b[3],Output,PIN_N9,4,B4_N0,3.3-V LVTTL,,,,
lcd_out_rgb_b[2],Output,PIN_L8,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_b[1],Output,PIN_L7,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_b[0],Output,PIN_M8,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_g[5],Output,PIN_N8,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_g[4],Output,PIN_P8,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_g[3],Output,PIN_M7,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_g[2],Output,PIN_N6,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_g[1],Output,PIN_P6,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_g[0],Output,PIN_M6,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_r[5],Output,PIN_N5,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_r[4],Output,PIN_L6,2,B2_N0,3.3-V LVTTL,,,,
lcd_out_rgb_r[3],Output,PIN_P3,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_r[2],Output,PIN_K6,2,B2_N0,3.3-V LVTTL,,,,
lcd_out_rgb_r[1],Output,PIN_N3,3,B3_N0,3.3-V LVTTL,,,,
lcd_out_rgb_r[0],Output,PIN_K5,2,B2_N0,3.3-V LVTTL,,,,
lcd_out_vs,Output,PIN_N11,4,B4_N0,3.3-V LVTTL,,,,
lcd_pwm,Output,PIN_P14,4,B4_N0,3.3-V LVTTL,,,,
lcd_ud,Output,PIN_J6,2,B2_N0,3.3-V LVTTL,,,,
VGAD[15],Unknown,PIN_C8,8,B8_N0,3.3-V LVTTL,,,,
VGAD[14],Unknown,PIN_A9,7,B7_N0,3.3-V LVTTL,,,,
VGAD[13],Unknown,PIN_B9,7,B7_N0,3.3-V LVTTL,,,,
VGAD[12],Unknown,PIN_A10,7,B7_N0,3.3-V LVTTL,,,,
VGAD[11],Unknown,PIN_B10,7,B7_N0,3.3-V LVTTL,,,,
VGAD[10],Unknown,PIN_A11,7,B7_N0,3.3-V LVTTL,,,,
VGAD[9],Unknown,PIN_B11,7,B7_N0,3.3-V LVTTL,,,,
VGAD[8],Unknown,PIN_A12,7,B7_N0,3.3-V LVTTL,,,,
VGAD[7],Unknown,PIN_B12,7,B7_N0,3.3-V LVTTL,,,,
VGAD[6],Unknown,PIN_A13,7,B7_N0,3.3-V LVTTL,,,,
VGAD[5],Unknown,PIN_B13,7,B7_N0,3.3-V LVTTL,,,,
VGAD[4],Unknown,PIN_A14,7,B7_N0,3.3-V LVTTL,,,,
VGAD[3],Unknown,PIN_B14,7,B7_N0,3.3-V LVTTL,,,,
VGAD[2],Unknown,PIN_A15,7,B7_N0,3.3-V LVTTL,,,,
VGAD[1],Unknown,PIN_B16,6,B6_N0,3.3-V LVTTL,,,,
VGAD[0],Unknown,PIN_C15,6,B6_N0,3.3-V LVTTL,,,,
VGA_HSYNC,Unknown,PIN_C16,6,B6_N0,3.3-V LVTTL,,,,
VGA_VSYNC,Unknown,PIN_D15,6,B6_N0,3.3-V LVTTL,,,,
RESET,Unknown,PIN_E15,6,B6_N0,,,,,
DATA0,Unknown,PIN_H2,1,B1_N0,,,,,
DCLK,Unknown,PIN_H1,1,B1_N0,,,,,
SCE,Unknown,PIN_D2,1,B1_N0,,,,,
SDO,Unknown,PIN_C1,1,B1_N0,,,,,
KEY2,Unknown,PIN_E16,6,B6_N0,,,,,
KEY3,Unknown,PIN_M16,5,B5_N0,,,,,
KEY4,Unknown,PIN_M15,5,B5_N0,,,,,
RXD,Unknown,PIN_M2,2,B2_N0,,,,,
TXD,Unknown,PIN_G1,1,B1_N0,,,,,
SDA,Unknown,PIN_L2,2,B2_N0,,,,,
SCL,Unknown,PIN_L1,2,B2_N0,,,,,
PS2_DAT,Unknown,PIN_F1,1,B1_N0,,,,,
PS2_CLK,Unknown,PIN_G2,1,B1_N0,,,,,
RTC_SCLK,Unknown,PIN_J2,2,B2_N0,,,,,
RTC_NRST,Unknown,PIN_K2,2,B2_N0,,,,,
RTC_DATA,Unknown,PIN_K1,2,B2_N0,,,,,
BUZZER,Unknown,PIN_J1,2,B2_N0,,,,,
DIG[0],Unknown,PIN_B7,8,B8_N0,,,,,
DIG[1],Unknown,PIN_A8,8,B8_N0,,,,,
DIG[2],Unknown,PIN_A6,8,B8_N0,,,,,
DIG[3],Unknown,PIN_B5,8,B8_N0,,,,,
DIG[4],Unknown,PIN_B6,8,B8_N0,,,,,
DIG[5],Unknown,PIN_A7,8,B8_N0,,,,,
DIG[6],Unknown,PIN_B8,8,B8_N0,,,,,
DIG[7],Unknown,PIN_A5,8,B8_N0,,,,,
SEL[5],Unknown,PIN_B1,1,B1_N0,,,,,
SEL[4],Unknown,PIN_A2,8,B8_N0,,,,,
SEL[3],Unknown,PIN_B3,8,B8_N0,,,,,
SEL[2],Unknown,PIN_A3,8,B8_N0,,,,,
SEL[1],Unknown,PIN_B4,8,B8_N0,,,,,
SEL[0],Unknown,PIN_A4,8,B8_N0,,,,,
SD_DOUT,Unknown,PIN_J16,5,B5_N0,,,,,
SD_CLK,Unknown,PIN_J15,5,B5_N0,,,,,
SD_DI,Unknown,PIN_K16,5,B5_N0,,,,,
SD_NCS,Unknown,PIN_K15,5,B5_N0,,,,,
IO3,Unknown,PIN_E7,8,B8_N0,,,,,
IO4,Unknown,PIN_D8,8,B8_N0,,,,,
IO5,Unknown,PIN_E8,8,B8_N0,,,,,
IO6,Unknown,PIN_F7,8,B8_N0,,,,,
IO7,Unknown,PIN_F9,7,B7_N0,,,,,
IO8,Unknown,PIN_E9,7,B7_N0,,,,,
IO9,Unknown,PIN_C9,7,B7_N0,,,,,
IO10,Unknown,PIN_D9,7,B7_N0,,,,,
IO11,Unknown,PIN_E10,7,B7_N0,,,,,
IO12,Unknown,PIN_C11,7,B7_N0,,,,,
IO13,Unknown,PIN_D11,7,B7_N0,,,,,
IO14,Unknown,PIN_D12,7,B7_N0,,,,,
IO15,Unknown,PIN_E11,7,B7_N0,,,,,
IO16,Unknown,PIN_C14,7,B7_N0,,,,,
IO17,Unknown,PIN_F10,7,B7_N0,,,,,
IO18,Unknown,PIN_D14,7,B7_N0,,,,,
IO19,Unknown,PIN_F11,7,B7_N0,,,,,
IO20,Unknown,PIN_F13,6,B6_N0,,,,,
IO21,Unknown,PIN_F14,6,B6_N0,,,,,
IO22,Unknown,PIN_G11,6,B6_N0,,,,,
IO23,Unknown,PIN_K9,4,B4_N0,,,,,
IO24,Unknown,PIN_K10,4,B4_N0,,,,,
IO25,Unknown,PIN_G16,6,B6_N0,,,,,
IO26,Unknown,PIN_J11,5,B5_N0,,,,,
IO27,Unknown,PIN_J12,5,B5_N0,,,,,
IO28,Unknown,PIN_J13,5,B5_N0,,,,,
IO29,Unknown,PIN_J14,5,B5_N0,,,,,
IO30,Unknown,PIN_K11,5,B5_N0,,,,,
IO31,Unknown,PIN_K12,5,B5_N0,,,,,
IO32,Unknown,PIN_L14,5,B5_N0,,,,,
IO33,Unknown,PIN_L13,5,B5_N0,,,,,
IO34,Unknown,PIN_L12,5,B5_N0,,,,,
IO35,Unknown,PIN_N14,5,B5_N0,,,,,
IO36,Unknown,PIN_M12,5,B5_N0,,,,,
