# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.1.0 Build 186 12/03/2014 SJ Full Version
# File: C:\Users\Lenovo\Desktop\sdram_ov7670_vga.csv
# Generated on: Tue Mar 03 16:55:16 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
RTC_NRST,Unknown,,,,,,,,,,
RTC_DATA,Unknown,,,,,,,,,,
BUZZER,Unknown,,,,,,,,,,
DIG[0],Unknown,,,,,,,,,,
DIG[1],Unknown,,,,,,,,,,
DIG[2],Unknown,,,,,,,,,,
DIG[3],Unknown,,,,,,,,,,
DIG[4],Unknown,,,,,,,,,,
DIG[5],Unknown,,,,,,,,,,
DIG[6],Unknown,,,,,,,,,,
DIG[7],Unknown,,,,,,,,,,
SEL[5],Unknown,,,,,,,,,,
SEL[4],Unknown,,,,,,,,,,
SEL[3],Unknown,,,,,,,,,,
SEL[2],Unknown,,,,,,,,,,
SEL[1],Unknown,,,,,,,,,,
SEL[0],Unknown,,,,,,,,,,
SD_DOUT,Unknown,,,,,,,,,,
SD_CLK,Unknown,,,,,,,,,,
SD_DI,Unknown,,,,,,,,,,
SD_NCS,Unknown,,,,,,,,,,
CMOS_DB[0],Unknown,,,,,,,,,,
CMOS_DB[1],Unknown,,,,,,,,,,
CMOS_DB[2],Unknown,,,,,,,,,,
CMOS_DB[3],Unknown,,,,,,,,,,
CMOS_DB[4],Unknown,,,,,,,,,,
CMOS_DB[5],Unknown,,,,,,,,,,
CMOS_DB[6],Unknown,,,,,,,,,,
CMOS_DB[7],Unknown,,,,,,,,,,
CMOS_XCLK,Unknown,,,,,,,,,,
CMOS_PCLK,Unknown,,,,,,,,,,
CMOS_VSYNC,Unknown,,,,,,,,,,
CMOS_SCLK,Unknown,,,,,,,,,,
CMOS_SDAT,Unknown,,,,,,,,,,
CMOS_HREF,Unknown,,,,,,,,,,
lcd_ud,Unknown,,,,,,,,,,
lcd_pwm,Unknown,,,,,,,,,,
lcd_out_vs,Unknown,,,,,,,,,,
lcd_out_rgb_r[5],Unknown,,,,,,,,,,
lcd_out_rgb_r[4],Unknown,,,,,,,,,,
lcd_out_rgb_r[3],Unknown,,,,,,,,,,
lcd_out_rgb_r[2],Unknown,,,,,,,,,,
lcd_out_rgb_r[1],Unknown,,,,,,,,,,
lcd_out_rgb_r[0],Unknown,,,,,,,,,,
lcd_out_rgb_g[5],Unknown,,,,,,,,,,
lcd_out_rgb_g[4],Unknown,,,,,,,,,,
lcd_out_rgb_g[3],Unknown,,,,,,,,,,
lcd_out_rgb_g[2],Unknown,,,,,,,,,,
lcd_out_rgb_g[1],Unknown,,,,,,,,,,
lcd_out_rgb_g[0],Unknown,,,,,,,,,,
lcd_out_rgb_b[5],Unknown,,,,,,,,,,
lcd_out_rgb_b[4],Unknown,,,,,,,,,,
lcd_out_rgb_b[3],Unknown,,,,,,,,,,
lcd_out_rgb_b[2],Unknown,,,,,,,,,,
lcd_out_rgb_b[1],Unknown,,,,,,,,,,
lcd_out_rgb_b[0],Unknown,,,,,,,,,,
lcd_out_hs,Unknown,,,,,,,,,,
lcd_out_de,Unknown,,,,,,,,,,
lcd_out_clk,Unknown,,,,,,,,,,
lcd_mode,Unknown,,,,,,,,,,
lcd_lr,Unknown,,,,,,,,,,
IO3,Unknown,,,,,,,,,,
IO4,Unknown,,,,,,,,,,
IO5,Unknown,,,,,,,,,,
IO6,Unknown,,,,,,,,,,
IO7,Unknown,,,,,,,,,,
IO8,Unknown,,,,,,,,,,
IO9,Unknown,,,,,,,,,,
IO10,Unknown,,,,,,,,,,
IO11,Unknown,,,,,,,,,,
IO12,Unknown,,,,,,,,,,
IO13,Unknown,,,,,,,,,,
IO14,Unknown,,,,,,,,,,
IO15,Unknown,,,,,,,,,,
IO16,Unknown,,,,,,,,,,
IO17,Unknown,,,,,,,,,,
IO18,Unknown,,,,,,,,,,
IO19,Unknown,,,,,,,,,,
IO20,Unknown,,,,,,,,,,
IO21,Unknown,,,,,,,,,,
IO22,Unknown,,,,,,,,,,
IO23,Unknown,,,,,,,,,,
IO24,Unknown,,,,,,,,,,
IO25,Unknown,,,,,,,,,,
IO26,Unknown,,,,,,,,,,
IO27,Unknown,,,,,,,,,,
IO28,Unknown,,,,,,,,,,
IO29,Unknown,,,,,,,,,,
IO30,Unknown,,,,,,,,,,
IO31,Unknown,,,,,,,,,,
IO32,Unknown,,,,,,,,,,
IO33,Unknown,,,,,,,,,,
IO34,Unknown,,,,,,,,,,
IO35,Unknown,,,,,,,,,,
IO36,Unknown,,,,,,,,,,
